역,역명,질문,질문 full,GPT 응답
서울,서울역,여자 장애인 화장실 있어?,서울역 여자 장애인 화장실 있어?,❌ 입력창 없음
시청,시청역,여자 화장실에 기저귀 교환대 있어?,시청역 여자 화장실에 기저귀 교환대 있어?,
종각,종각역,화장실이 게이트 밖에 있어?,종각역 화장실이 게이트 밖에 있어?,
종로3가,종로3가역,화장실 몇번 출구에 가까워?,종로3가역 화장실 몇번 출구에 가까워?,
종로5가,종로5가역,화장실 몇 층이야?,종로5가역 화장실 몇 층이야?,
동대문,동대문역,화장실 5년 내에 리모델링 했어?,동대문역 화장실 5년 내에 리모델링 했어?,
동묘앞,동묘앞역,급똥!,동묘앞역 급똥!,
신설동,신설동역,여자 장애인 화장실 있어?,신설동역 여자 장애인 화장실 있어?,
제기동,제기동역,여자 화장실에 기저귀 교환대 있어?,제기동역 여자 화장실에 기저귀 교환대 있어?,
청량리,청량리역,화장실이 게이트 밖에 있어?,청량리역 화장실이 게이트 밖에 있어?,
을지로입구,을지로입구역,화장실 몇번 출구에 가까워?,을지로입구역 화장실 몇번 출구에 가까워?,
을지로3가,을지로3가역,화장실 몇 층이야?,을지로3가역 화장실 몇 층이야?,
을지로4가,을지로4가역,화장실 5년 내에 리모델링 했어?,을지로4가역 화장실 5년 내에 리모델링 했어?,
동대문역사문화공원,동대문역사문화공원역,급똥!,동대문역사문화공원역 급똥!,
신당,신당역,여자 장애인 화장실 있어?,신당역 여자 장애인 화장실 있어?,
상왕십리,상왕십리역,여자 화장실에 기저귀 교환대 있어?,상왕십리역 여자 화장실에 기저귀 교환대 있어?,
왕십리,왕십리역,화장실이 게이트 밖에 있어?,왕십리역 화장실이 게이트 밖에 있어?,
한양대,한양대역,화장실 몇번 출구에 가까워?,한양대역 화장실 몇번 출구에 가까워?,
뚝섬,뚝섬역,화장실 몇 층이야?,뚝섬역 화장실 몇 층이야?,
성수,성수역,화장실 5년 내에 리모델링 했어?,성수역 화장실 5년 내에 리모델링 했어?,
건대입구,건대입구역,급똥!,건대입구역 급똥!,
구의,구의역,여자 장애인 화장실 있어?,구의역 여자 장애인 화장실 있어?,
강변,강변역,여자 화장실에 기저귀 교환대 있어?,강변역 여자 화장실에 기저귀 교환대 있어?,
잠실나루,잠실나루역,화장실이 게이트 밖에 있어?,잠실나루역 화장실이 게이트 밖에 있어?,
잠실,잠실역,화장실 몇번 출구에 가까워?,잠실역 화장실 몇번 출구에 가까워?,
잠실새내,잠실새내역,화장실 몇 층이야?,잠실새내역 화장실 몇 층이야?,
종합운동장,종합운동장역,화장실 5년 내에 리모델링 했어?,종합운동장역 화장실 5년 내에 리모델링 했어?,
삼성,삼성역,급똥!,삼성역 급똥!,
선릉,선릉역,여자 장애인 화장실 있어?,선릉역 여자 장애인 화장실 있어?,
역삼,역삼역,여자 화장실에 기저귀 교환대 있어?,역삼역 여자 화장실에 기저귀 교환대 있어?,
강남,강남역,화장실이 게이트 밖에 있어?,강남역 화장실이 게이트 밖에 있어?,
교대,교대역,화장실 몇번 출구에 가까워?,교대역 화장실 몇번 출구에 가까워?,
서초,서초역,화장실 몇 층이야?,서초역 화장실 몇 층이야?,
방배,방배역,화장실 5년 내에 리모델링 했어?,방배역 화장실 5년 내에 리모델링 했어?,
사당,사당역,급똥!,사당역 급똥!,
낙성대,낙성대역,여자 장애인 화장실 있어?,낙성대역 여자 장애인 화장실 있어?,
서울대입구,서울대입구역,여자 화장실에 기저귀 교환대 있어?,서울대입구역 여자 화장실에 기저귀 교환대 있어?,
봉천,봉천역,화장실이 게이트 밖에 있어?,봉천역 화장실이 게이트 밖에 있어?,
신림,신림역,화장실 몇번 출구에 가까워?,신림역 화장실 몇번 출구에 가까워?,
신대방,신대방역,화장실 몇 층이야?,신대방역 화장실 몇 층이야?,
구로디지털단지,구로디지털단지역,화장실 5년 내에 리모델링 했어?,구로디지털단지역 화장실 5년 내에 리모델링 했어?,
대림,대림역,급똥!,대림역 급똥!,
신도림,신도림역,여자 장애인 화장실 있어?,신도림역 여자 장애인 화장실 있어?,
문래,문래역,여자 화장실에 기저귀 교환대 있어?,문래역 여자 화장실에 기저귀 교환대 있어?,
영등포구청,영등포구청역,화장실이 게이트 밖에 있어?,영등포구청역 화장실이 게이트 밖에 있어?,
당산,당산역,화장실 몇번 출구에 가까워?,당산역 화장실 몇번 출구에 가까워?,
합정,합정역,화장실 몇 층이야?,합정역 화장실 몇 층이야?,
홍대입구,홍대입구역,화장실 5년 내에 리모델링 했어?,홍대입구역 화장실 5년 내에 리모델링 했어?,
신촌,신촌역,급똥!,신촌역 급똥!,
이대,이대역,여자 장애인 화장실 있어?,이대역 여자 장애인 화장실 있어?,
아현,아현역,여자 화장실에 기저귀 교환대 있어?,아현역 여자 화장실에 기저귀 교환대 있어?,
충정로,충정로역,화장실이 게이트 밖에 있어?,충정로역 화장실이 게이트 밖에 있어?,
용두,용두역,화장실 몇번 출구에 가까워?,용두역 화장실 몇번 출구에 가까워?,
신답,신답역,화장실 몇 층이야?,신답역 화장실 몇 층이야?,
용답,용답역,화장실 5년 내에 리모델링 했어?,용답역 화장실 5년 내에 리모델링 했어?,
도림천,도림천역,급똥!,도림천역 급똥!,
양천구청,양천구청역,여자 장애인 화장실 있어?,양천구청역 여자 장애인 화장실 있어?,
신정네거리,신정네거리역,여자 화장실에 기저귀 교환대 있어?,신정네거리역 여자 화장실에 기저귀 교환대 있어?,
구파발,구파발역,화장실이 게이트 밖에 있어?,구파발역 화장실이 게이트 밖에 있어?,
연신내,연신내역,화장실 몇번 출구에 가까워?,연신내역 화장실 몇번 출구에 가까워?,
불광,불광역,화장실 몇 층이야?,불광역 화장실 몇 층이야?,
녹번,녹번역,화장실 5년 내에 리모델링 했어?,녹번역 화장실 5년 내에 리모델링 했어?,
홍제,홍제역,급똥!,홍제역 급똥!,
무악재,무악재역,여자 장애인 화장실 있어?,무악재역 여자 장애인 화장실 있어?,
독립문,독립문역,여자 화장실에 기저귀 교환대 있어?,독립문역 여자 화장실에 기저귀 교환대 있어?,
경복궁,경복궁역,화장실이 게이트 밖에 있어?,경복궁역 화장실이 게이트 밖에 있어?,
안국,안국역,화장실 몇번 출구에 가까워?,안국역 화장실 몇번 출구에 가까워?,
동대입구,동대입구역,화장실 몇 층이야?,동대입구역 화장실 몇 층이야?,
약수,약수역,화장실 5년 내에 리모델링 했어?,약수역 화장실 5년 내에 리모델링 했어?,
금호,금호역,급똥!,금호역 급똥!,
옥수,옥수역,여자 장애인 화장실 있어?,옥수역 여자 장애인 화장실 있어?,
압구정,압구정역,여자 화장실에 기저귀 교환대 있어?,압구정역 여자 화장실에 기저귀 교환대 있어?,
신사,신사역,화장실이 게이트 밖에 있어?,신사역 화장실이 게이트 밖에 있어?,
잠원,잠원역,화장실 몇번 출구에 가까워?,잠원역 화장실 몇번 출구에 가까워?,
남부터미널,남부터미널역,화장실 몇 층이야?,남부터미널역 화장실 몇 층이야?,
양재,양재역,화장실 5년 내에 리모델링 했어?,양재역 화장실 5년 내에 리모델링 했어?,
매봉,매봉역,급똥!,매봉역 급똥!,
도곡,도곡역,여자 장애인 화장실 있어?,도곡역 여자 장애인 화장실 있어?,
대치,대치역,여자 화장실에 기저귀 교환대 있어?,대치역 여자 화장실에 기저귀 교환대 있어?,
학여울,학여울역,화장실이 게이트 밖에 있어?,학여울역 화장실이 게이트 밖에 있어?,
대청,대청역,화장실 몇번 출구에 가까워?,대청역 화장실 몇번 출구에 가까워?,
일원,일원역,화장실 몇 층이야?,일원역 화장실 몇 층이야?,
수서,수서역,화장실 5년 내에 리모델링 했어?,수서역 화장실 5년 내에 리모델링 했어?,
가락시장,가락시장역,급똥!,가락시장역 급똥!,
경찰병원,경찰병원역,여자 장애인 화장실 있어?,경찰병원역 여자 장애인 화장실 있어?,
오금,오금역,여자 화장실에 기저귀 교환대 있어?,오금역 여자 화장실에 기저귀 교환대 있어?,
당고개,당고개역,화장실이 게이트 밖에 있어?,당고개역 화장실이 게이트 밖에 있어?,
상계,상계역,화장실 몇번 출구에 가까워?,상계역 화장실 몇번 출구에 가까워?,
노원,노원역,화장실 몇 층이야?,노원역 화장실 몇 층이야?,
창동,창동역,화장실 5년 내에 리모델링 했어?,창동역 화장실 5년 내에 리모델링 했어?,
쌍문,쌍문역,급똥!,쌍문역 급똥!,
수유,수유역,여자 장애인 화장실 있어?,수유역 여자 장애인 화장실 있어?,
